<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
20180930,2100,1.30371,1.30381,1.30245,1.30324
20180930,2200,1.30341,1.30352,1.30295,1.30313
20180930,2300,1.30319,1.30389,1.30319,1.3038
20181001,0,1.30377,1.30437,1.30368,1.30391
20181001,100,1.30392,1.30401,1.30277,1.30327
20181001,200,1.30329,1.30379,1.30307,1.30315
20181001,300,1.30315,1.30318,1.30286,1.30305
20181001,400,1.30306,1.30317,1.30228,1.30246
20181001,500,1.30246,1.3031,1.30227,1.30285
20181001,600,1.30288,1.30368,1.30239,1.30307
20181001,700,1.30306,1.30541,1.30277,1.30536
20181001,800,1.30535,1.30593,1.30398,1.30579
20181001,900,1.30579,1.3059,1.30451,1.3046
20181001,1000,1.30464,1.30488,1.30356,1.30384
20181001,1100,1.30385,1.30513,1.30191,1.30241
20181001,1200,1.30238,1.31153,1.30119,1.30781
20181001,1300,1.30778,1.30828,1.30533,1.30708
20181001,1400,1.30708,1.30798,1.30399,1.30456
20181001,1500,1.30453,1.30539,1.30273,1.30293
20181001,1600,1.30293,1.30409,1.30293,1.30347
20181001,1700,1.30348,1.30421,1.30313,1.30417
20181001,1800,1.30417,1.30447,1.30355,1.30366
20181001,1900,1.30366,1.30447,1.30365,1.30394
20181001,2000,1.30394,1.30419,1.30367,1.30419
20181001,2100,1.30418,1.30448,1.3032,1.30359
20181001,2200,1.30364,1.3046,1.30364,1.30415
20181001,2300,1.30417,1.30444,1.30401,1.30428
